1, 6, 32, 10, 2700, 1, [12 54 33], NA
2, 6, 26, 7, 3400, 1, [69 90], NA
3, 6, 33, 14, 3200, 1, [13 34 76], NA
4, 8, 39, 4, 500, 1, [19 61 82], 46
5, 6, 35, 13, 1800, 1, [78 99 36], NA
6, 6, 29, 19, 700, 1, [30 51], NA
7, 8, 23, 9, 1600, 1, [24 87], 43
8, 6, 27, 6, 2900, 0, [70 49 7], NA
9, 6, 31, 17, 2300, 1, [11 74], NA
10, 8, 34, 11, 900, 1, [56 77 35], 52
11, 6, 42, 12, 1400, 1, [22 43 85], NA
12, 8, 22, 1, 2100, 1, [1 2 65], 44
13, 6, 37, 21, 1100, 1, [38 59], NA
14, 8, 30, 16, 2400, 1, [10 31 73], 50
15, 8, 24, 3, 600, 1, [4 67 88], 43
16, 6, 25, 2, 2800, 1, [5 26 68], NA
17, 6, 28, 20, 1300, 0, [8 92], NA
18, 8, 32, 18, 1700, 1, [54 75 96], 51
19, 6, 36, 5, 400, 1, [37 16 100 79], NA
20, 8, 40, 8, 2700, 1, [20 62], 44
21, 8, 38, 10, 800, 1, [18 39 60 81], 47
